# ============================================================
# マイクラ学習クエスト3D - 問題テンプレート
# ============================================================
#
# 【使い方】
#   1. このファイルを questions.csv という名前でコピーする
#   2. Excelやスプレッドシートで編集する
#   3. GitHubにpushするとタブレットに自動反映される
#
# 【列の説明】
#   subject  : 教科（math / japanese / english のどれか）
#   grade    : 学年（2〜6 の数字）
#   question : 問題文
#   opt1     : 選択肢1（必須）
#   opt2     : 選択肢2（必須）
#   opt3     : 選択肢3（省略すると2択になる）
#   opt4     : 選択肢4（省略すると3択になる）
#   correct  : 正解の番号（0=opt1, 1=opt2, 2=opt3, 3=opt4）
#   explain  : 正解後に表示する解説（省略可）
#   diff     : 難易度（easy=かんたん / normal=ふつう / hard=むずかしい）
#              省略するとnormalになる
#
# 【subject の値】
#   math     : さんすう（算数）
#   japanese : こくご（国語）
#   english  : えいご（英語）
#
# 【correct の数え方（0始まり）】
#   opt1が正解 → 0
#   opt2が正解 → 1
#   opt3が正解 → 2
#   opt4が正解 → 3
#
# 【注意】
#   ・#で始まる行はコメントとして無視されます
#   ・opt3・opt4・explain・diffは省略できます（カンマ不要）
#   ・問題文や選択肢にカンマを使う場合は「"」で囲んでください
#     例: "1,000円のものを買って..."
# ============================================================
subject,grade,question,opt1,opt2,opt3,opt4,correct,explain,diff
#
# --- さんすう（math）のサンプル ---
math,2,2 ＋ 3 ＝ ？,4,5,6,7,1,たすと5になるよ！,easy
math,2,10 ー 4 ＝ ？,5,6,7,8,1,10から4をひくと6だよ,easy
math,2,3 × 4 ＝ ？,10,11,12,13,2,3を4かいたすと12だよ,normal
math,2,8 × 9 ＝ ？,62,63,72,81,2,8×9＝72だよ,hard
#
# --- こくご（japanese）のサンプル ---
japanese,2,「やま」のよみかたは？,やさ,やた,やま,やら,2,山はやまとよむよ,easy
japanese,2,「きれい」のはんたいは？,ふるい,きたない,おおきい,ちいさい,1,きれいのはんたいはきたないだよ,normal
#
# --- えいご（english）のサンプル ---
english,2,犬は英語で？,cat,dog,bird,fish,1,犬はdogだよ,easy
english,2,赤は英語で？,blue,green,red,yellow,2,赤はredだよ,normal
#
# ↓ ここから自分の問題を追加してください ↓
#
